,disable-inlining,max-memory-inhibit,klee-call-optimisation,use-construct-hash-stp,use-visitor-hash,equality-substitution,check-overshift,check-div-zero,use-branch-cache,use-independent-solver,use-call-paths,use-cex-cache,use-forked-solver,watchdog,const-array-opt,zero-seed-extension,warnings-only-to-file,smtlib-human-readable,warn-all-external-symbols,use-iterative-deepening-time-search,cex-cache-exp,all-external-warnings,readable-posix-inputs,return-null-on-zero-malloc,emit-all-errors,solver-optimize-divides,cex-cache-try-all,simplify-sym-indices,named-seed-matching,disable-verify,track-instruction-time,silent-klee-assume,suppress-external-warnings,cex-cache-superset,verify-each,max-memory,max-stack-frames,max-forks,max-sym-array-size,max-depth,batch-instructions,redzone-size,seed-time,max-solver-time,batch-time,uncovered-update-interval,max-static-fork-pct,max-static-solve-pct,max-static-cpfork-pct,max-static-cpsolve-pct,array-value-symb-ratio,array-value-ratio,search,switch-type,smtlib-display-constants,smtlib-abbreviation-mode,seed-file,sym-arg,sym-files,sym-stdin,Coverage,Accumulated Coverage
11,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,996,16477,5092,2325,933,4507,5,4s,2s,3s,32s,0.07226715239,0.773443635,0.5064939622,0.4878156141,0.1433305852,0.9213450647,nurs:rp,simple,bin,let,3,6,2 10,6,510,888
12,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,2039,39448,7745,3558,1935,9333,10,5s,3s,5s,42s,0.04453732192,0.2185987998,0.3378612615,0.5555792458,0.6142250883,0.8376310485,nurs:icnt,simple,hex,none,2,11,1 2,8,505,889
13,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,618,11962,3628,3350,854,7908,5,3s,1s,3s,16s,0.5680582361,0.8315561112,0.4688671579,0.8326073415,0.6436410834,0.03685827729,nurs:depth,simple,hex,let,9,6,2 16,5,557,890
14,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1427,23739,7620,3820,1027,13036,7,6s,3s,4s,37s,0.1293839222,0.3403421727,0.7699100062,0.3248123502,0.5989457598,0.5232955698,bfs,internal,bin,named,10,6,1 18,7,551,892
15,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1226,19034,2465,3549,545,12690,5,4s,2s,2s,9s,0.3111836664,0.9929921505,0.6964930513,0.1833223595,0.3674797012,0.7275017429,nurs:qc,internal,hex,none,7,17,1 9,5,564,892
16,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1480,29520,5303,4786,1048,14885,10,8s,3s,4s,20s,0.4814406458,0.01946023642,0.5291604758,0.7360464998,0.5924375141,0.9091454203,bfs,simple,hex,let,8,9,2 7,8,551,892
17,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1189,20203,4997,3330,425,9499,3,5s,2s,2s,16s,0.4388462287,0.1017430196,0.4998059065,0.8940919213,0.3261658223,0.7040080894,nurs:qc,llvm,hex,named,3,9,1 29,5,822,916
18,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,1459,43105,7436,4301,621,17942,5,11s,4s,2s,30s,0.9649434717,0.1222825334,0.9140659324,0.02265040659,0.7024746072,0.1654464094,random-state,llvm,dec,none,9,19,2 23,12,774,921
19,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,822,10247,3360,2561,371,9435,3,6s,3s,7s,16s,0.9763156744,0.4370330126,0.3132637014,0.5651158507,0.3365994167,0.2888463228,nurs:md2u,simple,hex,let,9,5,2 17,8,490,921
20,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1512,29462,6038,4748,452,11213,4,11s,4s,3s,21s,0.06041666401,0.2635842046,0.2935564118,0.02333650735,0.3942137392,0.876462244,nurs:rp,internal,dec,none,9,12,2 3,16,591,921
